system,intent_id,rep,complexity,ue_band,scenario,deployment_time_s,config_error_rate,resource_accuracy,interventions,intent_to_deploy_accuracy,policy_violation_rate,error
mas,C05,4,complex,500,bursty-headroom,142.715,0.1111,0.3597,0,1,0.2,
mas,C06,0,complex,500,steady,144.307,0.2,0.6427,0,1,0.2,
mas,C06,1,complex,500,steady,141.014,0.1111,0.6427,0,1,0.2,Topology has issues: Connection references unknown VNF: oai-gnb
mas,C06,2,complex,500,steady,142.984,0.1111,0.6354,0,1,0.2,
mas,C06,3,complex,500,steady,141.785,0.1111,0.6427,0,1,0.2,
mas,C06,4,complex,500,steady,147.365,0.2,0.6354,0,1,0.2,
mas,C07,0,complex,200,fault-HA,142.984,0.1111,0.6286,0,1,0.2,
mas,C07,1,complex,200,fault-HA,143.007,0.2,0.6286,0,1,0.2,
mas,C07,2,complex,200,fault-HA,143.581,0.2,0.6286,0,1,0.2,
mas,C07,3,complex,200,fault-HA,142.948,0.2,0.6286,0,1,0.2,
mas,C07,4,complex,200,fault-HA,142.455,0.1111,0.6286,0,1,0.2,
mas,C08,0,complex,500,steady,744.937,0.1111,0.0,1,0,0.2,
mas,C08,1,complex,500,steady,742.808,0.1111,0.0,1,0,0.2,
mas,C08,2,complex,500,steady,743.985,0.1111,0.0,1,0,0.2,
mas,C08,3,complex,500,steady,743.612,0.1111,0.0,1,0,0.2,
mas,C08,4,complex,500,steady,742.106,0.1111,0.0,1,0,0.2,
mas,C09,0,complex,50,steady,142.91,0.2,0.8646,0,0,0.2,
mas,C09,1,complex,50,steady,143.414,0.2,0.8646,0,0,0.2,
mas,C09,2,complex,50,steady,142.887,0.2,0.8646,0,0,0.2,
mas,C09,3,complex,50,steady,143.312,0.2,0.8646,0,0,0.2,
mas,C09,4,complex,50,steady,142.924,0.2,0.8646,0,0,0.2,
mas,N09,0,complex,200,bursty-headroom,141.372,0.1111,0.8875,0,1,0.2,
mas,N09,1,complex,200,bursty-headroom,141.763,0.1111,0.8875,0,1,0.2,
mas,N09,2,complex,200,bursty-headroom,140.913,0.1111,0.8875,0,1,0.2,
mas,N09,3,complex,200,bursty-headroom,141.2,0.1111,0.8875,0,1,0.2,
mas,N09,4,complex,200,bursty-headroom,141.854,0.1111,0.8875,0,1,0.2,
mas,N10,0,complex,200,sinusoidal-autoscale,144.085,0.2,0.9155,1,0,0.2,
mas,N10,1,complex,200,sinusoidal-autoscale,143.001,0.2,0.9155,1,0,0.2,
mas,N10,2,complex,200,sinusoidal-autoscale,142.7,0.2,0.9155,1,0,0.2,
mas,N10,3,complex,200,sinusoidal-autoscale,143.15,0.2,0.9155,1,0,0.2,
mas,N10,4,complex,200,sinusoidal-autoscale,144.257,0.2,0.9155,1,0,0.2,
mas,N11,0,complex,500,sinusoidal-autoscale,143.642,0.2,0.7949,0,1,0.2,
mas,N11,1,complex,500,sinusoidal-autoscale,143.673,0.2,0.7875,0,1,0.2,
mas,N11,2,complex,500,sinusoidal-autoscale,143.712,0.2,0.7949,0,1,0.2,
mas,N11,3,complex,500,sinusoidal-autoscale,144.4,0.2,0.7949,0,1,0.2,
mas,N11,4,complex,500,sinusoidal-autoscale,143.846,0.2,0.7949,0,1,0.2,
