system,intent_id,rep,complexity,ue_band,scenario,category,deployment_time_s,config_error_rate,resource_accuracy,interventions,intent_to_deploy_accuracy,policy_violation_rate,error
mas,P056,0,simple,50,steady,perfect,16.795,0.0,0.9896,0,0,0.2,
mas,P056,1,simple,50,steady,perfect,16.569,0.0,0.9896,0,0,0.2,
mas,P056,2,simple,50,steady,perfect,17.168,0.0,0.9896,0,0,0.2,
mas,P056,3,simple,50,steady,perfect,15.456,0.0,0.9896,0,0,0.2,
mas,P056,4,simple,50,steady,perfect,13.793,0.0,0.9896,0,0,0.2,
mas,P057,0,simple,200,steady,perfect,13.696,0.0,0.9911,0,0,0.2,
mas,P057,1,simple,200,steady,perfect,13.871,0.0,0.9911,0,0,0.2,
mas,P057,2,simple,200,steady,perfect,17.95,0.0,0.9911,0,0,0.2,
mas,P057,3,simple,200,steady,perfect,13.668,0.0,0.9911,0,0,0.2,
mas,P057,4,simple,200,steady,perfect,13.667,0.0,0.9911,0,0,0.2,
mas,P058,0,medium,200,steady,perfect,13.74,0.0,0.8809,0,0,0.2,
mas,P058,1,medium,200,steady,perfect,14.039,0.0,0.8809,0,0,0.2,
mas,P058,2,medium,200,steady,perfect,13.583,0.0,0.8809,0,0,0.2,
mas,P058,3,medium,200,steady,perfect,14.198,0.0,0.8809,0,0,0.2,
mas,P058,4,medium,200,steady,perfect,14.388,0.0,0.8809,0,0,0.2,
mas,P059,0,medium,500,steady,perfect,13.084,0.0,0.9921,0,0,0.2,
mas,P059,1,medium,500,steady,perfect,16.68,0.0,0.9921,0,0,0.2,
mas,P059,2,medium,500,steady,perfect,16.982,0.0,0.9921,0,0,0.2,
mas,P059,3,medium,500,steady,perfect,13.488,0.0,0.9921,0,0,0.2,
mas,P059,4,medium,500,steady,perfect,13.484,0.0,0.9921,0,0,0.2,
mas,P060,0,complex,500,steady,perfect,18.526,0.0,0.9927,0,0,0.2,
mas,P060,1,complex,500,steady,perfect,18.869,0.0,0.9927,0,0,0.2,
mas,P060,2,complex,500,steady,perfect,19.526,0.0,0.9927,0,0,0.2,
mas,P060,3,complex,500,steady,perfect,19.091,0.0,0.9927,0,0,0.2,
mas,P060,4,complex,500,steady,perfect,18.701,0.0,0.9927,0,0,0.2,
mas,P061,0,simple,50,steady,perfect,16.727,0.0,0.9658,0,0,0.2,
mas,P061,1,simple,50,steady,perfect,17.09,0.0,0.9658,0,0,0.2,
mas,P061,2,simple,50,steady,perfect,17.089,0.0,0.9658,0,0,0.2,
mas,P061,3,simple,50,steady,perfect,16.295,0.0,0.9658,0,0,0.2,
mas,P061,4,simple,50,steady,perfect,16.735,0.0,0.9658,0,0,0.2,
mas,P062,0,medium,200,steady,perfect,17.586,0.0,0.8639,0,0,0.2,
mas,P062,1,medium,200,steady,perfect,16.003,0.0,0.8639,0,0,0.2,
